T,Duration,Speedup
1,2355.8,1
2,1208.4,1.94952
3,918.1,2.56595
4,775.7,3.037
5,722.5,3.26062
6,682.5,3.45172
7,719.5,3.27422
8,675.8,3.48594
9,637.1,3.69769
10,629.7,3.74115
11,634.3,3.71402
12,630.8,3.73462
