T,Duration,Speedup
1,253,1
2,143.2,1.76676
3,115.3,2.19428
4,94.4,2.68008
5,87.7,2.88483
6,86.9,2.91139
7,81.5,3.10429
8,81.5,3.10429
9,76.9,3.28999
10,73.4,3.44687
11,71.4,3.54342
12,69.2,3.65607
13,67.3,3.75929
14,66.2,3.82175
15,64.5,3.92248
16,64.1,3.94696
17,62.3,4.061
18,61.2,4.13399
19,59.9,4.22371
20,60.1,4.20965
21,58.7,4.31005
22,58.5,4.32479
23,58.3,4.33962
24,57.9,4.3696
