T,Duration,Speedup
1,0.664935,1.0
2,0.339302,1.95971
3,0.229153,2.90171
4,0.176279,3.77207
5,0.141717,4.69198
6,0.120345,5.52524
7,0.104724,6.3494
8,0.0926717,7.17517
9,0.0827501,8.03546
10,0.0764707,8.6953
11,0.091819,7.24181
12,0.0879931,7.55668
